,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
143,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,28,1990,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches,f6a06749
144,Luca Plogmann,de GER,GK,Werder Bremen,de Bundesliga,18,2000,1,0,37,0.4,1,2.43,1,0,100.0,0,0,0,0,,1,1,0,0,0.0,Matches,206c37d3
145,Giacomo Poluzzi,it ITA,GK,SPAL,it Serie A,30,1988,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,07f55871
146,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,19,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,c252c705
147,Silvio Proto,be BEL,GK,Lazio,it Serie A,35,1983,2,2,180,2.0,4,2.00,13,9,69.2,1,0,1,0,0.0,0,0,0,0,,Matches,c8a88acd
148,Ivan Provedel,it ITA,GK,Empoli,it Serie A,24,1994,16,16,1440,16.0,36,2.25,104,69,68.3,4,4,8,0,0.0,4,3,0,1,0.0,Matches,277da414
149,Ionuț Radu,ro ROU,GK,Genoa,it Serie A,21,1997,33,33,2970,33.0,46,1.39,149,102,72.5,6,14,13,6,18.2,6,5,1,0,16.7,Matches,67f649be
150,Pepe Reina,es ESP,GK,Milan,it Serie A,35,1982,4,2,328,3.7,5,1.37,14,9,71.4,1,0,1,1,50.0,1,1,0,0,0.0,Matches,e358587b
151,Michael Rensing,de GER,GK,Düsseldorf,de Bundesliga,34,1984,32,32,2880,32.0,62,1.94,170,108,67.6,12,5,15,5,15.6,7,7,0,0,0.0,Matches,c476b0c0
152,Baptiste Reynet,fr FRA,GK,Toulouse,fr Ligue 1,27,1990,31,31,2704,30.0,45,1.50,143,98,71.3,6,10,14,6,19.4,5,4,1,0,20.0,Matches,bcf1b2e9
153,Sergio Rico,es ESP,GK,Fulham,eng Premier League,24,1993,29,29,2610,29.0,56,1.93,165,111,68.5,6,3,20,5,17.2,4,4,0,0,0.0,Matches,5f0241b2
154,Asier Riesgo,es ESP,GK,Eibar,es La Liga,34,1983,15,14,1260,14.0,20,1.43,46,27,56.5,2,8,4,4,28.6,0,0,0,0,,Matches,581c5276
155,Joel Robles,es ESP,GK,Betis,es La Liga,28,1990,5,5,450,5.0,5,1.00,21,16,81.0,2,1,2,1,20.0,1,1,0,0,0.0,Matches,cda0b317
156,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,,Matches,7b5f516f
157,John Ruddy,eng ENG,GK,Wolves,eng Premier League,31,1986,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,da8b19e2
158,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,31,1986,37,37,3330,37.0,40,1.08,148,107,77.7,19,8,10,13,35.1,9,7,1,1,12.5,Matches,cac76a72
159,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,26,1992,27,27,2430,27.0,35,1.30,109,75,69.7,10,9,8,7,25.9,3,2,1,0,33.3,Matches,625c144a
160,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,26,1992,34,34,3060,34.0,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0.0,Matches,4535e4bb
161,Frederik Rønnow,dk DEN,GK,Eint Frankfurt,de Bundesliga,25,1992,2,1,122,1.4,0,0.00,7,7,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,a70b8345
162,Samuel Şahin-Radlinger,at AUT,GK,Hannover 96,de Bundesliga,25,1992,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,e385200c
163,Brice Samba,cg CGO,GK,Caen,fr Ligue 1,24,1994,38,38,3420,38.0,54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,0,25.0,Matches,60d90c55
164,Roberto Santamaría,es ESP,GK,Huesca,es La Liga,33,1985,20,20,1800,20.0,30,1.50,96,67,75.0,5,7,8,6,30.0,6,6,0,0,0.0,Matches,bca21ef3
165,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,31,1986,38,38,3420,38.0,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0.0,Matches,53af52f3
166,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,26,1992,33,33,2970,33.0,60,1.82,170,110,68.8,7,12,14,5,15.2,7,7,0,0,0.0,Matches,0d55d942
167,Simone Scuffet,it ITA,GK,Udinese,it Serie A,22,1996,9,9,810,9.0,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,0.0,Matches,41bd99ea
168,Andrea Seculin,it ITA,GK,Chievo,it Serie A,28,1990,2,1,90,1.0,7,7.00,12,5,41.7,0,0,1,0,0.0,0,0,0,0,,Matches,c4f573f4
169,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,26,1992,37,37,3330,37.0,48,1.30,148,99,72.3,10,16,11,8,21.6,9,7,2,0,22.2,Matches,834b5c4c
170,Adrian Šemper,hr CRO,GK,Chievo,it Serie A,20,1998,6,6,540,6.0,8,1.33,32,24,75.0,1,3,2,2,33.3,0,0,0,0,,Matches,f02dde20
171,Luigi Sepe,it ITA,GK,Parma,it Serie A,27,1991,37,37,3330,37.0,59,1.59,197,142,74.1,10,11,16,10,27.0,8,8,0,0,0.0,Matches,343f753a
172,Unai Simón,es ESP,GK,Athletic Club,es La Liga,21,1997,7,7,630,7.0,13,1.86,33,20,66.7,1,4,2,0,0.0,2,2,0,0,0.0,Matches,5dcf3e90
173,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,31,1987,36,36,3170,35.2,35,0.99,136,99,75.7,15,14,6,14,38.9,4,2,2,0,50.0,Matches,10dc46f0
174,Antonio Sivera,es ESP,GK,Alavés,es La Liga,21,1996,3,3,270,3.0,4,1.33,13,9,69.2,2,0,1,0,0.0,0,0,0,0,,Matches,9970da54
175,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,27,1991,38,38,3420,38.0,56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0.0,Matches,ab4449d6
176,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,29,1988,34,34,3060,34.0,42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0,Matches,420c18a1
177,David Soria,es ESP,GK,Getafe,es La Liga,25,1993,37,37,3330,37.0,34,0.92,133,99,77.4,14,14,9,13,35.1,6,4,1,1,20.0,Matches,8f8c6934
178,Juan Soriano,es ESP,GK,Sevilla,es La Liga,20,1997,4,4,359,4.0,2,0.50,11,9,90.9,3,0,0,2,50.0,1,1,0,0,0.0,Matches,5512b1a9
179,Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,39,1979,31,31,2790,31.0,60,1.94,167,107,65.3,1,11,18,5,16.1,4,2,2,0,50.0,Matches,048877f5
180,Julián Speroni,ar ARG,GK,Crystal Palace,eng Premier League,39,1979,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,Matches,8e65a5e5
181,Marco Sportiello,it ITA,GK,Frosinone,it Serie A,26,1992,35,35,3150,35.0,64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,0.0,Matches,ac4003af
182,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,23,1995,35,35,3150,35.0,39,1.11,132,95,74.2,16,7,12,10,28.6,6,5,1,0,16.7,Matches,339fe0e8
183,Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,33,1984,14,14,1138,12.6,12,0.95,39,26,74.4,4,5,3,4,28.6,3,2,1,0,33.3,Matches,f6db3bd5
184,Seydou Sy,sn SEN,GK,Monaco,fr Ligue 1,22,1995,3,2,225,2.5,7,2.80,12,6,41.7,0,1,1,0,0.0,0,0,0,0,,Matches,8417953b
185,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,28,1990,28,28,2520,28.0,20,0.71,81,61,76.5,22,5,1,11,39.3,3,1,1,1,50.0,Matches,01b8a2b2
186,Ciprian Tătărușanu,ro ROU,GK,Nantes,fr Ligue 1,32,1986,27,27,2391,26.6,30,1.13,95,62,69.5,8,6,12,7,25.9,4,1,3,0,75.0,Matches,b056e3da
187,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,26,1992,35,35,3150,35.0,32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,0.0,Matches,6f51e382
188,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,28,1990,2,2,180,2.0,3,1.50,11,8,72.7,0,1,1,0,0.0,0,0,0,0,,Matches,e1b0a70d
189,Pietro Terracciano,it ITA,GK,Empoli,it Serie A,28,1990,8,8,720,8.0,10,1.25,35,26,71.4,1,2,5,2,25.0,0,0,0,0,,Matches,e1b0a70d
190,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,28,1990,33,33,2938,32.6,48,1.47,158,111,70.3,13,9,10,8,24.2,1,1,0,0,0.0,Matches,ce17b5eb
191,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,19,1999,2,2,180,2.0,5,2.50,13,9,61.5,1,0,1,1,50.0,0,0,0,0,,Matches,fe558029
192,Philipp Tschauner,de GER,GK,Hannover 96,de Bundesliga,32,1985,1,1,90,1.0,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches,73e2f6eb
193,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,29,1988,9,8,757,8.4,9,1.07,23,14,69.6,4,3,1,2,25.0,3,2,0,1,0.0,Matches,7d3e7da6
194,Tomáš Vaclík,cz CZE,GK,Sevilla,es La Liga,29,1989,33,33,2970,33.0,44,1.33,143,98,72.0,13,8,12,8,24.2,5,4,1,0,20.0,Matches,7b456af7
195,Koke Vegas,es ESP,GK,Levante,es La Liga,22,1995,1,1,90,1.0,2,2.00,8,6,75.0,0,1,0,0,0.0,0,0,0,0,,Matches,bfb15d99
196,Emiliano Viviano,it ITA,GK,SPAL,it Serie A,32,1985,17,17,1525,16.9,25,1.48,84,59,75.0,6,3,7,3,17.6,4,4,0,0,0.0,Matches,03760df0
197,Michel Vorm,nl NED,GK,Tottenham,eng Premier League,34,1983,2,2,180,2.0,4,2.00,13,9,69.2,0,0,2,0,0.0,0,0,0,0,,Matches,1bebde9d
198,Axel Werner,ar ARG,GK,Huesca,es La Liga,22,1996,6,6,540,6.0,16,2.67,32,17,53.1,1,1,4,0,0.0,1,1,0,0,0.0,Matches,c0b1a6da
199,Yoel,es ESP,GK,Valladolid,es La Liga,29,1988,3,3,270,3.0,6,2.00,12,6,58.3,0,2,1,0,0.0,1,1,0,0,0.0,Matches,61bb7498
200,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,23,1994,10,10,900,10.0,14,1.40,49,35,71.4,4,4,2,2,20.0,0,0,0,0,,Matches,5c4bf6ba
201,Luca Zidane,fr FRA,GK,Real Madrid,es La Liga,20,1998,1,1,90,1.0,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,Matches,c818c4d9
202,Ron-Robert Zieler,de GER,GK,Stuttgart,de Bundesliga,29,1989,34,34,3060,34.0,70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0,Matches,a0606ae8
