,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
143,Bailey Peacock-Farrell,nir NIR,GK,Burnley,eng Premier League,23,1996,4,4,360,4.0,14,3.50,24,10,41.7,0,0,4,0,0.0,0,0,0,0,,Matches,4879f8cb
144,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,39,1981,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,f058ed1f
145,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,37,1982,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches,76806215
146,Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,35,1985,3,3,270,3.0,3,1.00,13,10,76.9,1,2,0,0,0.0,0,0,0,0,,Matches,c41f7379
147,Juan Pérez,es ESP,GK,Osasuna,es La Liga,24,1996,3,3,270,3.0,3,1.00,8,5,75.0,1,1,1,1,33.3,1,1,0,0,0.0,Matches,8f29e08b
148,Mattia Perin,it ITA,GK,Genoa,it Serie A,27,1992,32,32,2879,32.0,44,1.38,158,116,76.6,9,11,11,8,25.0,7,7,0,0,0.0,Matches,4c62d0c8
149,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,32,1987,2,2,180,2.0,4,2.00,14,10,71.4,0,1,1,0,0.0,0,0,0,0,,Matches,c89e8aae
150,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,26,1994,31,31,2742,30.5,39,1.28,128,90,71.1,15,5,10,10,32.3,3,2,0,1,0.0,Matches,4806ec67
151,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,30,1990,1,0,23,0.3,1,3.91,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,f6a06749
152,Nick Pope,eng ENG,GK,Burnley,eng Premier League,28,1992,32,32,2880,32.0,37,1.16,149,113,77.2,10,9,13,11,34.4,3,3,0,0,0.0,Matches,4b40d9ca
153,Ivan Provedel,it ITA,GK,Spezia,it Serie A,26,1994,29,29,2610,29.0,55,1.90,131,75,62.6,6,10,13,4,13.8,7,6,1,0,14.3,Matches,277da414
154,Anthony Racioppi,ch SUI,GK,Dijon,fr Ligue 1,21,1998,21,21,1890,21.0,33,1.57,93,59,67.7,2,6,13,3,14.3,4,3,1,0,25.0,Matches,abc06eb3
155,Ionuț Radu,ro ROU,GK,Inter,it Serie A,23,1997,2,1,135,1.5,1,0.67,6,5,83.3,1,0,0,0,0.0,0,0,0,0,,Matches,67f649be
156,Rafael,br BRA,GK,Spezia,it Serie A,38,1982,3,2,207,2.3,5,2.17,18,13,72.2,0,1,1,1,50.0,0,0,0,0,,Matches,dd06d56c
157,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,24,1995,37,37,3285,36.5,49,1.34,162,112,72.2,9,14,13,10,27.0,7,4,2,1,33.3,Matches,58ad9383
158,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,eng Premier League,22,1998,38,38,3420,38.0,63,1.66,206,145,70.9,7,2,29,5,13.2,4,3,0,1,0.0,Matches,466fb2c5
159,Darren Randolph,ie IRL,GK,West Ham,eng Premier League,33,1987,3,3,270,3.0,3,1.00,9,6,66.7,2,0,1,1,33.3,0,0,0,0,,Matches,6385ebfb
160,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,20,1999,4,4,360,4.0,10,2.50,19,10,52.6,0,1,3,0,0.0,1,1,0,0,0.0,Matches,6662d731
161,Pepe Reina,es ESP,GK,Lazio,it Serie A,37,1982,29,29,2610,29.0,41,1.41,113,74,70.8,18,3,8,9,31.0,8,8,0,0,0.0,Matches,e358587b
162,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,25,1995,38,38,3420,38.0,38,1.00,105,67,66.7,17,11,10,14,36.8,5,3,1,1,25.0,Matches,374ee424
163,Baptiste Reynet,fr FRA,GK,Nîmes,fr Ligue 1,29,1990,38,38,3420,38.0,71,1.87,196,122,66.8,9,8,21,8,21.1,10,6,3,1,33.3,Matches,bcf1b2e9
164,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,26,1993,10,8,810,9.0,9,1.00,36,28,75.0,5,1,2,5,62.5,0,0,0,0,,Matches,5f0241b2
165,Roberto,es ESP,GK,Valladolid,es La Liga,34,1986,13,13,1170,13.0,17,1.31,46,29,67.4,1,7,5,1,7.7,3,2,0,1,0.0,Matches,ba3ca78f
166,Joel Robles,es ESP,GK,Betis,es La Liga,30,1990,18,18,1620,18.0,25,1.39,61,37,65.6,9,2,7,6,33.3,5,4,1,0,20.0,Matches,cda0b317
167,Marek Rodák,sk SVK,GK,Fulham,eng Premier League,23,1996,2,2,180,2.0,5,2.50,9,4,55.6,0,0,2,0,0.0,1,1,0,0,0.0,Matches,17acc2ed
168,Rubén,es ESP,GK,Osasuna,es La Liga,36,1984,3,3,187,2.1,5,2.41,8,3,37.5,0,1,1,0,0.0,0,0,0,0,,Matches,24279b8b
169,John Ruddy,eng ENG,GK,Wolves,eng Premier League,33,1986,2,1,91,1.0,1,0.99,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,da8b19e2
170,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,28,1992,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,,Matches,625c144a
171,Mathew Ryan,au AUS,GK,Arsenal,eng Premier League,28,1992,3,3,270,3.0,2,0.67,10,8,90.0,1,1,1,1,33.3,1,1,0,0,0.0,Matches,4535e4bb
172,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,28,1992,11,11,990,11.0,19,1.73,34,16,55.9,2,4,5,2,18.2,4,4,0,0,0.0,Matches,4535e4bb
173,Frederik Rønnow,dk DEN,GK,Schalke 04,de Bundesliga,27,1992,11,10,945,10.5,24,2.29,67,45,70.1,0,4,6,1,10.0,4,4,0,0,0.0,Matches,a70b8345
174,Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,36,1984,15,15,1350,15.0,14,0.93,54,40,74.1,9,4,2,5,33.3,0,0,0,0,,Matches,74733221
175,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,22,1997,27,27,2430,27.0,27,1.00,91,65,72.5,7,10,10,10,37.0,3,2,0,1,0.0,Matches,6a713852
176,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,33,1986,38,38,3420,38.0,50,1.32,136,88,66.2,20,6,12,11,28.9,4,4,0,0,0.0,Matches,53af52f3
177,Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,28,1992,26,26,2340,26.0,39,1.50,108,69,69.4,6,10,10,8,30.8,6,6,0,0,0.0,Matches,0d55d942
178,Simone Scuffet,it ITA,GK,Udinese,it Serie A,24,1996,1,1,90,1.0,2,2.00,4,2,75.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,41bd99ea
179,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,28,1992,6,6,540,6.0,13,2.17,26,13,57.7,1,2,3,0,0.0,2,2,0,0,0.0,Matches,834b5c4c
180,Luigi Sepe,it ITA,GK,Parma,it Serie A,29,1991,36,36,3240,36.0,76,2.11,181,108,59.1,3,11,22,5,13.9,2,2,0,0,0.0,Matches,343f753a
181,Rui Silva,pt POR,GK,Granada,es La Liga,26,1994,32,32,2880,32.0,55,1.72,137,79,63.5,12,6,14,8,25.0,10,5,4,1,44.4,Matches,ea83bfa6
182,Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,29,1991,34,34,3060,34.0,42,1.24,131,91,72.5,10,10,14,7,20.6,7,6,0,1,0.0,Matches,0d422df7
183,Unai Simón,es ESP,GK,Athletic Club,es La Liga,23,1997,37,37,3330,37.0,40,1.08,108,68,67.6,11,13,13,9,24.3,6,5,1,0,16.7,Matches,5dcf3e90
184,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,32,1988,4,3,344,3.8,6,1.57,19,13,68.4,1,1,1,1,33.3,0,0,0,0,,Matches,0d8a37c2
185,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,33,1987,32,32,2880,32.0,62,1.94,134,72,59.7,5,13,14,7,21.9,9,8,0,1,0.0,Matches,10dc46f0
186,Antonio Sivera,es ESP,GK,Alavés,es La Liga,23,1996,1,1,71,0.8,,,1,1,,,,,,,,,,,,Matches,9970da54
187,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,29,1991,28,28,2520,28.0,46,1.64,147,100,72.1,10,5,13,4,14.3,7,5,2,0,28.6,Matches,ab4449d6
188,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,31,1988,31,31,2712,30.1,50,1.66,132,82,66.7,12,8,10,6,19.4,6,6,0,0,0.0,Matches,420c18a1
189,David Soria,es ESP,GK,Getafe,es La Liga,27,1993,28,28,2520,28.0,31,1.11,81,52,69.1,6,8,14,10,35.7,7,6,1,0,14.3,Matches,8f8c6934
190,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,28,1992,15,13,1261,14.0,21,1.50,47,25,57.4,9,1,3,2,15.4,2,1,1,0,50.0,Matches,ac4003af
191,Zack Steffen,us USA,GK,Manchester City,eng Premier League,25,1995,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches,42130443
192,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,25,1995,9,9,810,9.0,14,1.56,38,24,68.4,3,2,4,3,33.3,2,2,0,0,0.0,Matches,339fe0e8
193,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,30,1990,30,30,2677,29.7,32,1.08,98,66,71.4,15,8,6,5,16.7,6,4,2,0,33.3,Matches,01b8a2b2
194,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,34,1986,1,1,90,1.0,3,3.00,7,4,71.4,0,1,0,0,0.0,1,1,0,0,0.0,Matches,b056e3da
195,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,28,1992,31,31,2790,31.0,32,1.03,106,76,72.6,21,5,5,11,35.5,3,3,0,0,0.0,Matches,6f51e382
196,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,30,1990,4,2,272,3.0,4,1.32,11,7,63.6,0,1,1,2,100.0,1,0,1,0,100.0,Matches,e1b0a70d
197,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30,1990,33,33,2970,33.0,52,1.58,150,99,68.0,15,12,6,4,12.1,6,4,1,1,20.0,Matches,ce17b5eb
198,Samir Ujkani,xk KVX,GK,Torino,it Serie A,32,1988,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches,96640846
199,Tomáš Vaclík,cz CZE,GK,Sevilla,es La Liga,31,1989,5,5,450,5.0,5,1.00,14,9,64.3,3,0,2,2,40.0,0,0,0,0,,Matches,7b456af7
200,Koke Vegas,es ESP,GK,Levante,es La Liga,24,1995,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,bfb15d99
201,Guglielmo Vicario,it ITA,GK,Cagliari,it Serie A,23,1996,4,4,360,4.0,6,1.50,21,15,71.4,3,0,1,1,25.0,0,0,0,0,,Matches,77d6fd4d
202,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,23,1997,21,19,1781,19.8,30,1.52,77,47,68.8,7,5,7,5,26.3,7,6,1,0,14.3,Matches,cde52ef5
203,João Virgínia,pt POR,GK,Everton,eng Premier League,20,1999,1,0,48,0.5,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,0,,Matches,728e9b2e
204,Rubén Yáñez,es ESP,GK,Getafe,es La Liga,26,1993,10,10,900,10.0,12,1.20,30,18,63.3,3,3,4,4,40.0,1,1,0,0,0.0,Matches,039ae103
205,Yoel,es ESP,GK,Eibar,es La Liga,31,1988,4,3,300,3.3,3,0.90,6,3,50.0,0,1,2,0,0.0,0,0,0,0,,Matches,61bb7498
206,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,25,1994,31,31,2790,31.0,46,1.48,142,97,71.1,9,9,13,5,16.1,6,5,0,1,0.0,Matches,5c4bf6ba
207,Ron-Robert Zieler,de GER,GK,Köln,de Bundesliga,31,1989,1,0,51,0.6,1,1.76,3,2,100.0,0,0,0,0,,1,1,0,0,0.0,Matches,a0606ae8
208,Jeroen Zoet,nl NED,GK,Spezia,it Serie A,29,1991,7,7,603,6.7,12,1.79,29,17,69.0,2,1,3,0,0.0,3,3,0,0,0.0,Matches,cc1a0c57
