,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1566,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,25,1995,35,34,2728,30.3,1,0,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,2.0,2.0,0.9,2.9,0.07,0.03,0.10,0.07,0.10,Matches,00b28772
1567,Nikola Maksimović,rs SRB,DF,Napoli,it Serie A,28,1991,17,12,1207,13.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.04,0.01,0.05,0.04,0.05,Matches,16b9d5cf
1568,Filip Malbašić,rs SRB,FWMF,Cádiz,es La Liga,27,1992,28,8,860,9.6,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,0.7,1.5,0.08,0.08,0.16,0.08,0.16,Matches,04981123
1569,Kévin Malcuit,ma MAR,DF,Fiorentina,it Serie A,29,1991,5,2,207,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.03,0.03,0.06,0.03,0.06,Matches,d6a889ea
1570,Kévin Malcuit,ma MAR,FWMF,Napoli,it Serie A,29,1991,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d6a889ea
1571,Daniel Maldini,it ITA,FWDF,Milan,it Serie A,18,2001,5,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.24,0.00,0.24,0.24,0.24,Matches,801831fe
1572,Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,27,1993,36,22,1876,20.8,8,12,7,1,1,3,0,0.38,0.58,0.96,0.34,0.91,5.6,4.9,10.2,15.0,0.27,0.49,0.76,0.23,0.72,Matches,48d5bd33
1573,Yunus Mallı,tr TUR,MF,Wolfsburg,de Bundesliga,28,1992,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.15,0.15,0.00,0.15,Matches,f3722c97
1574,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,29,1991,31,30,2602,28.9,3,1,3,0,0,8,0,0.10,0.03,0.14,0.10,0.14,2.6,2.6,3.1,5.6,0.09,0.11,0.19,0.09,0.19,Matches,cb574619
1575,Mickael Malsa,mq MTQ,MF,Levante,es La Liga,24,1995,35,25,2338,26.0,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.6,1.6,0.6,2.2,0.06,0.02,0.09,0.06,0.09,Matches,bbc19252
1576,Dennis Man,ro ROU,FWMF,Parma,it Serie A,21,1998,14,8,699,7.8,2,1,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39,2.5,2.5,0.5,3.0,0.33,0.06,0.39,0.33,0.39,Matches,2079b3cc
1577,Hianga Mananga Mbock,fr FRA,MFFW,Brest,fr Ligue 1,20,1999,12,4,458,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.01,0.04,0.03,0.04,Matches,0f86995c
1578,Vincent Manceau,fr FRA,DF,Angers,fr Ligue 1,31,1989,27,25,2309,25.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04,Matches,c26a3918
1579,Gianluca Mancini,it ITA,DF,Roma,it Serie A,24,1996,33,33,2852,31.7,4,2,4,0,0,10,0,0.13,0.06,0.19,0.13,0.19,2.8,2.8,0.8,3.6,0.09,0.03,0.11,0.09,0.11,Matches,5aa53281
1580,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,35,1985,37,37,3330,37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1d2d5cc8
1581,Reinildo Mandava,mz MOZ,DF,Lille,fr Ligue 1,26,1994,29,24,2180,24.2,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.4,1.6,0.01,0.06,0.06,0.01,0.06,Matches,c20bdcd7
1582,Aïssa Mandi,dz ALG,DF,Betis,es La Liga,28,1991,28,27,2392,26.6,3,1,3,0,0,6,2,0.11,0.04,0.15,0.11,0.15,2.1,2.1,0.8,2.9,0.08,0.03,0.11,0.08,0.11,Matches,fbd6378b
1583,Rolando Mandragora,it ITA,MF,Udinese,it Serie A,23,1997,10,3,398,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,1.2,0.23,0.04,0.26,0.23,0.26,Matches,c7259b83
1584,Rolando Mandragora,it ITA,MF,Torino,it Serie A,23,1997,17,17,1525,16.9,3,1,3,0,0,5,1,0.18,0.06,0.24,0.18,0.24,2.8,2.8,0.7,3.5,0.17,0.04,0.21,0.17,0.21,Matches,c7259b83
1585,Mario Mandžukić,hr CRO,FW,Milan,it Serie A,34,1986,10,1,212,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.1,0.42,0.05,0.47,0.42,0.47,Matches,afa0d4e0
1586,Sadio Mané,sn SEN,FW,Liverpool,eng Premier League,28,1992,35,31,2810,31.2,11,7,11,0,0,3,0,0.35,0.22,0.58,0.35,0.58,14.1,14.1,7.0,21.0,0.45,0.22,0.67,0.45,0.67,Matches,c691bfe2
1587,Niccolò Manfredini,it ITA,GK,Benevento,it Serie A,32,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e4b39692
1588,Eliaquim Mangala,fr FRA,DF,Valencia,es La Liga,29,1991,7,4,321,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,Matches,f520049f
1589,Orel Mangala,be BEL,MF,Stuttgart,de Bundesliga,22,1998,24,24,2109,23.4,1,3,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,1.2,1.2,1.5,2.7,0.05,0.06,0.11,0.05,0.11,Matches,a572e291
1590,Thomas Mangani,fr FRA,MF,Angers,fr Ligue 1,33,1987,35,32,2691,29.9,3,3,0,3,3,3,0,0.10,0.10,0.20,0.00,0.10,3.3,0.9,3.7,4.6,0.11,0.12,0.23,0.03,0.15,Matches,c801616a
1591,Vito Mannone,it ITA,GK,Monaco,fr Ligue 1,32,1988,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c4173f1a
1592,Kostas Manolas,gr GRE,DF,Napoli,it Serie A,29,1991,30,27,2298,25.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,1.1,0.03,0.01,0.04,0.03,0.04,Matches,c707411f
1593,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,26,1994,13,10,825,9.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matches,758dd7f0
1594,Juan Manuel Ramos,uy URU,DF,Spezia,it Serie A,23,1996,6,2,294,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.08,0.09,0.01,0.09,Matches,36d7971a
1595,Myziane Maolida,fr FRA,FWMF,Nice,fr Ligue 1,21,1999,19,11,1077,12.0,3,1,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,2.2,2.2,1.9,4.1,0.19,0.16,0.34,0.19,0.34,Matches,706a60e1
1596,Faitout Maouassa,fr FRA,DF,Rennes,fr Ligue 1,22,1998,23,13,1170,13.0,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,1.0,1.0,0.9,1.8,0.07,0.07,0.14,0.07,0.14,Matches,e54a9890
1597,Sekou Mara,fr FRA,FWMF,Bordeaux,fr Ligue 1,18,2002,8,2,229,2.5,1,2,1,0,0,0,0,0.39,0.79,1.18,0.39,1.18,0.5,0.5,0.4,0.9,0.20,0.16,0.36,0.20,0.36,Matches,3544641e
1598,Maranhão,br BRA,FW,Valladolid,es La Liga,23,1996,23,11,1177,13.1,4,1,4,0,0,3,0,0.31,0.08,0.38,0.31,0.38,4.9,4.9,0.7,5.6,0.38,0.05,0.43,0.38,0.43,Matches,ae86d473
1599,Fernando Marçal,br BRA,DFMF,Wolves,eng Premier League,31,1989,13,7,623,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches,9ae9eaea
1600,Fernando Marçal,br BRA,DF,Lyon,fr Ligue 1,31,1989,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9ae9eaea
1601,Marcelo,br BRA,DFMF,Real Madrid,es La Liga,32,1988,16,12,1050,11.7,0,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,0.5,0.5,1.5,2.0,0.04,0.13,0.17,0.04,0.17,Matches,603116a7
1602,Marcelo,br BRA,DF,Lyon,fr Ligue 1,33,1987,34,34,2907,32.3,3,0,3,0,0,7,2,0.09,0.00,0.09,0.09,0.09,1.8,1.8,0.5,2.3,0.06,0.01,0.07,0.06,0.07,Matches,e3d0b0c4
1603,Solly March,eng ENG,DFMF,Brighton,eng Premier League,26,1994,21,19,1672,18.6,2,1,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,1.7,1.7,1.5,3.2,0.09,0.08,0.17,0.09,0.17,Matches,bb5fbd2b
1604,Federico Marchetti,it ITA,GK,Genoa,it Serie A,37,1983,4,4,334,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f794b426
1605,Riccardo Marchizza,it ITA,DF,Spezia,it Serie A,22,1998,24,17,1561,17.3,0,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,1.6,1.9,0.02,0.09,0.11,0.02,0.11,Matches,91d0fabf
1606,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,28,1992,34,33,3014,33.5,0,4,0,0,0,7,0,0.00,0.12,0.12,0.00,0.12,2.0,2.0,1.2,3.2,0.06,0.04,0.10,0.06,0.10,Matches,8650af85
1607,Iván Marcone,ar ARG,MF,Elche,es La Liga,30,1990,33,30,2645,29.4,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.00,0.02,0.02,0.00,0.02,Matches,b14f755d
1608,Óscar de Marcos,es ESP,DFMF,Athletic Club,es La Liga,31,1989,25,17,1520,16.9,1,2,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,1.8,1.8,2.0,3.8,0.11,0.12,0.22,0.11,0.22,Matches,9f323c71
1609,Dario Maresic,at AUT,DF,Reims,fr Ligue 1,20,1999,8,5,514,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5d93ccee
1610,José Mari,es ESP,MF,Cádiz,es La Liga,32,1987,22,18,1451,16.1,1,0,0,1,1,5,0,0.06,0.00,0.06,0.00,0.00,1.2,0.4,0.5,1.0,0.08,0.03,0.11,0.03,0.06,Matches,6f4c734d
1611,Pablo Marí,es ESP,DF,Arsenal,eng Premier League,26,1993,10,10,900,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.01,0.03,0.03,0.01,0.03,Matches,aa54ec6f
1612,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,25,1995,21,20,1765,19.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.4,0.06,0.01,0.07,0.06,0.07,Matches,f0da930c
1613,Mariano,do DOM,FW,Real Madrid,es La Liga,26,1993,16,5,513,5.7,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,1.7,1.7,0.1,1.8,0.29,0.02,0.31,0.29,0.31,Matches,5c4dc0ff
1614,Jordan Marié,fr FRA,MF,Dijon,fr Ligue 1,28,1991,24,16,1432,15.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.8,1.7,0.05,0.05,0.11,0.05,0.11,Matches,0d2158d5
1615,Adrián Marín,es ESP,DFMF,Alavés,es La Liga,23,1997,5,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.05,0.12,0.07,0.12,Matches,b7f2edff
1616,Adrián Marín,es ESP,DFMF,Granada,es La Liga,23,1997,9,3,269,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.3,0.3,0.02,0.08,0.10,0.02,0.10,Matches,b7f2edff
1617,Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,24,1996,37,35,2965,32.9,3,6,3,0,0,6,0,0.09,0.18,0.27,0.09,0.27,1.4,1.4,4.7,6.1,0.04,0.14,0.18,0.04,0.18,Matches,7fac99d4
1618,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,26,1994,28,22,2089,23.2,5,1,5,0,0,7,0,0.22,0.04,0.26,0.22,0.26,2.2,2.2,0.5,2.7,0.09,0.02,0.12,0.09,0.12,Matches,d9764034
1619,Marlon,br BRA,DF,Sassuolo,it Serie A,24,1995,24,19,1742,19.4,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.3,0.01,0.00,0.02,0.01,0.02,Matches,cdf65d12
1620,Omar Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,21,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0e0102eb
1621,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,26,1994,25,24,2128,23.6,3,1,3,0,0,2,0,0.13,0.04,0.17,0.13,0.17,2.2,2.2,0.2,2.5,0.09,0.01,0.10,0.09,0.10,Matches,d5f2f82b
1622,Luca Marrone,it ITA,DF,Crotone,it Serie A,30,1990,21,18,1588,17.6,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.02,0.00,0.02,0.02,0.02,Matches,ea468ea8
1623,Roger Martí,es ESP,FW,Levante,es La Liga,29,1991,33,26,2198,24.4,12,4,10,2,4,4,0,0.49,0.16,0.66,0.41,0.57,9.7,6.5,2.8,9.3,0.40,0.12,0.51,0.27,0.38,Matches,0ae4e09a
1624,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,24,1995,22,17,1480,16.4,4,3,4,0,0,0,1,0.24,0.18,0.43,0.24,0.43,6.5,6.5,2.0,8.5,0.40,0.12,0.52,0.40,0.52,Matches,8b788c01
1625,Aarón Martín,es ESP,DF,Celta Vigo,es La Liga,23,1997,19,17,1540,17.1,0,3,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,0.8,1.0,0.01,0.05,0.06,0.01,0.06,Matches,2f3e911a
1626,Aarón Martín,es ESP,DFFW,Mainz 05,de Bundesliga,23,1997,5,3,262,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.09,0.10,0.01,0.10,Matches,2f3e911a
1627,Álex Martín,es ESP,DF,Cádiz,es La Liga,22,1998,2,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,80153344
1628,Jonas Martin,fr FRA,MF,Rennes,fr Ligue 1,30,1990,12,6,482,5.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,468fdbad
1629,Martinelli,br BRA,FW,Arsenal,eng Premier League,19,2001,14,7,589,6.5,2,1,2,0,0,0,0,0.31,0.15,0.46,0.31,0.46,3.3,3.3,1.8,5.1,0.50,0.27,0.78,0.50,0.78,Matches,48a5a5d6
1630,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,27,1992,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,7956236f
1631,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,29,1991,28,28,2519,28.0,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.5,1.7,0.04,0.02,0.06,0.04,0.06,Matches,3fc45c73
1632,Javi Martínez,es ESP,MFFW,Osasuna,es La Liga,20,1999,13,6,460,5.1,1,1,1,0,0,1,0,0.20,0.20,0.39,0.20,0.39,0.7,0.7,0.4,1.0,0.13,0.07,0.20,0.13,0.20,Matches,3672b352
1633,Javi Martínez,es ESP,DFMF,Bayern Munich,de Bundesliga,31,1988,19,4,466,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.03,0.03,0.05,0.03,0.05,Matches,7f97771d
1634,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,22,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,11d8aff0
1635,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,22,1997,38,30,2561,28.5,17,6,15,2,2,5,0,0.60,0.21,0.81,0.53,0.74,15.2,13.6,5.7,19.3,0.53,0.20,0.73,0.48,0.68,Matches,f7036e1c
1636,Pablo Martinez,fr FRA,DF,Nîmes,fr Ligue 1,31,1989,7,6,540,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,1ad8cb67
1637,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,24,1996,21,15,1483,16.5,1,0,1,0,0,4,1,0.06,0.00,0.06,0.06,0.06,1.5,1.5,0.3,1.8,0.09,0.02,0.11,0.09,0.11,Matches,3ec3c1c9
1638,Gelson Martins,pt POR,MFFW,Monaco,fr Ligue 1,25,1995,23,20,1551,17.2,3,2,3,0,0,3,0,0.17,0.12,0.29,0.17,0.29,2.7,2.7,3.2,5.8,0.15,0.18,0.34,0.15,0.34,Matches,3ef0fa48
1639,Adam Marušić,me MNE,DF,Lazio,it Serie A,27,1992,36,33,2966,33.0,2,3,2,0,0,3,0,0.06,0.09,0.15,0.06,0.15,2.2,2.2,2.2,4.4,0.07,0.07,0.13,0.07,0.13,Matches,d4535821
1640,Sylvain Marveaux,fr FRA,MFFW,Lorient,fr Ligue 1,34,1986,9,2,200,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.1,0.41,0.06,0.47,0.41,0.47,Matches,4ef705ab
1641,Marvin,es ESP,DFMF,Real Madrid,es La Liga,20,2000,4,2,133,1.5,0,1,0,0,0,0,0,0.00,0.68,0.68,0.00,0.68,0.1,0.1,0.1,0.2,0.04,0.07,0.11,0.04,0.11,Matches,efaefda0
1642,Omar Mascarell,es ESP,MF,Schalke 04,de Bundesliga,27,1993,24,21,1762,19.6,1,1,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,0.4,0.4,0.6,1.0,0.02,0.03,0.05,0.02,0.05,Matches,11fd2b75
1643,Andrea Masiello,it ITA,DF,Genoa,it Serie A,34,1986,30,30,2563,28.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.9,0.02,0.01,0.03,0.02,0.03,Matches,e0314d87
1644,Jordi Masip,es ESP,GK,Valladolid,es La Liga,31,1989,25,25,2250,25.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8fae77ea
1645,Roberto Massimo,de GER,DFFW,Stuttgart,de Bundesliga,19,2000,18,7,757,8.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,1.0,2.3,0.16,0.12,0.27,0.16,0.27,Matches,fc62fdf4
1646,Giuseppe Mastinu,it ITA,FW,Spezia,it Serie A,28,1991,3,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,26cd1bff
1647,Arthur Masuaku,cd COD,DFMF,West Ham,eng Premier League,26,1993,12,12,1006,11.2,0,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.5,0.5,2.2,2.7,0.04,0.20,0.24,0.04,0.24,Matches,57df7a11
1648,Jaime Mata,es ESP,FW,Getafe,es La Liga,31,1988,33,23,2037,22.6,5,0,4,1,2,9,1,0.22,0.00,0.22,0.18,0.18,7.0,5.5,1.2,6.7,0.31,0.05,0.36,0.24,0.29,Matches,02319ad7
1649,Juan Mata,es ESP,FWMF,Manchester Utd,eng Premier League,32,1988,9,6,509,5.7,1,2,0,1,1,0,0,0.18,0.35,0.53,0.00,0.35,1.0,0.2,0.8,1.1,0.18,0.15,0.33,0.04,0.19,Matches,29733c72
1650,Pape Matar Sarr,sn SEN,MF,Metz,fr Ligue 1,17,2002,22,18,1594,17.7,3,0,3,0,0,5,0,0.17,0.00,0.17,0.17,0.17,1.1,1.1,0.5,1.6,0.06,0.03,0.09,0.06,0.09,Matches,feb5d972
1651,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,18,2002,10,3,314,3.5,1,1,1,0,0,0,1,0.29,0.29,0.57,0.29,0.57,0.8,0.8,0.3,1.1,0.22,0.10,0.32,0.22,0.32,Matches,15944afd
1652,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,23,1997,7,2,221,2.5,1,0,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,0.3,0.3,0.0,0.3,0.13,0.01,0.14,0.13,0.14,Matches,50e6dc35
1653,Jean-Philippe Mateta,fr FRA,FW,Mainz 05,de Bundesliga,23,1997,15,12,997,11.1,7,1,6,1,1,2,0,0.63,0.09,0.72,0.54,0.63,8.6,7.8,1.4,9.2,0.78,0.13,0.90,0.70,0.83,Matches,50e6dc35
1654,Nemanja Matić,rs SRB,MF,Manchester Utd,eng Premier League,31,1988,20,12,1106,12.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.02,0.06,0.08,0.02,0.08,Matches,eb7822d7
1655,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,28,1991,10,9,691,7.7,1,2,1,0,0,2,0,0.13,0.26,0.39,0.13,0.39,0.8,0.8,0.9,1.7,0.10,0.11,0.22,0.10,0.22,Matches,b217ef29
1656,Rabbi Matondo,wls WAL,FWMF,Schalke 04,de Bundesliga,19,2000,3,3,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.06,0.06,0.00,0.06,Matches,33144cc5
1657,Ryder Matos,br BRA,MF,Udinese,it Serie A,27,1993,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.31,0.31,0.00,0.31,Matches,7280b54f
1658,Henning Matriciani,de GER,DF,Schalke 04,de Bundesliga,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ab3f1bdf
1659,Chrislain Matsima,fr FRA,DFFW,Monaco,fr Ligue 1,18,2002,9,3,352,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.05,0.02,0.08,0.05,0.08,Matches,cf1ef7ec
1660,Federico Mattiello,it ITA,DF,Spezia,it Serie A,25,1995,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fba81826
1661,Neal Maupay,fr FRA,FWMF,Brighton,eng Premier League,23,1996,33,29,2512,27.9,8,2,5,3,4,1,1,0.29,0.07,0.36,0.18,0.25,13.2,10.1,3.9,13.9,0.47,0.14,0.61,0.36,0.50,Matches,4bcf39f6
1662,Tony Mauricio,fr FRA,MF,Lens,fr Ligue 1,26,1994,26,2,502,5.6,0,4,0,0,0,3,0,0.00,0.72,0.72,0.00,0.72,0.4,0.4,1.5,1.9,0.08,0.26,0.34,0.08,0.34,Matches,96e5168e
1663,Stephy Mavididi,eng ENG,FWMF,Montpellier,fr Ligue 1,22,1998,35,23,2030,22.6,9,0,9,0,0,3,0,0.40,0.00,0.40,0.40,0.40,5.6,5.6,1.2,6.8,0.25,0.05,0.30,0.25,0.30,Matches,30144daa
1664,Konstantinos Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,22,1997,21,19,1463,16.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.3,1.8,0.10,0.02,0.11,0.10,0.11,Matches,00963611
1665,Eric Maxim Choupo-Moting,cm CMR,FWMF,Bayern Munich,de Bundesliga,31,1989,22,8,820,9.1,3,0,3,0,0,2,0,0.33,0.00,0.33,0.33,0.33,4.7,4.7,1.5,6.1,0.51,0.16,0.67,0.51,0.67,Matches,0e6bc38c
1666,Borja Mayoral,es ESP,FW,Roma,it Serie A,23,1997,31,18,1551,17.2,10,3,10,0,0,1,0,0.58,0.17,0.75,0.58,0.75,6.8,6.8,1.5,8.4,0.40,0.09,0.49,0.40,0.49,Matches,64e8ed6d
1667,Borja Mayoral,es ESP,FW,Real Madrid,es La Liga,23,1997,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,64e8ed6d
1668,Youssef Maziz,fr FRA,MFFW,Metz,fr Ligue 1,22,1998,11,2,257,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.6,0.09,0.13,0.22,0.09,0.22,Matches,514270e8
1669,Antonio Mazzotta,it ITA,DF,Crotone,it Serie A,30,1989,2,1,56,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4366d5e9
1670,Kevin Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,25,1995,22,19,1642,18.2,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,1.0,1.6,0.03,0.06,0.09,0.03,0.09,Matches,493924a7
