,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
143,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,34,1982,9,7,714,8.2,10,1.26,27,18,66.7,4,2,1,3,42.9,1,1,0,0,0.0,Matches,76806215
144,Mattia Perin,it ITA,GK,Genoa,it Serie A,24,1992,37,37,3330,37.0,42,1.14,167,127,77.2,11,8,18,12,32.4,4,4,0,0,0.0,Matches,4c62d0c8
145,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,23,1994,38,38,3420,38.0,58,1.53,178,119,69.1,13,10,15,10,26.3,5,3,1,1,25.0,Matches,4806ec67
146,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,27,1990,1,0,28,0.3,1,3.21,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,f6a06749
147,Julian Pollersbeck,de GER,GK,Hamburger SV,de Bundesliga,22,1994,10,10,900,10.0,15,1.50,47,32,68.1,4,1,5,1,10.0,0,0,0,0,,Matches,d6f6ce93
148,Nick Pope,eng ENG,GK,Burnley,eng Premier League,25,1992,35,34,3115,34.6,35,1.01,148,113,78.4,12,11,11,12,35.3,5,3,1,1,25.0,Matches,4b40d9ca
149,Nicolas de Préville,fr FRA,FWMF,Lille,fr Ligue 1,26,1991,1,0,11,3.2,1,8.18,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,b0547a87
150,Andrés Prieto,es ESP,GK,Málaga,es La Liga,23,1993,4,4,360,4.0,10,2.50,20,10,60.0,0,0,4,0,0.0,2,2,0,0,0.0,Matches,113fb4ea
151,Jérôme Prior,fr FRA,GK,Bordeaux,fr Ligue 1,21,1995,2,2,180,2.0,3,1.50,9,6,66.7,0,0,2,0,0.0,0,0,0,0,,Matches,1061c207
152,Christian Puggioni,it ITA,GK,Benevento,it Serie A,36,1981,14,14,1179,13.1,26,1.98,65,39,67.7,3,1,9,2,14.3,6,5,0,1,0.0,Matches,b39dfab0
153,Christian Puggioni,it ITA,GK,Sampdoria,it Serie A,36,1981,9,9,810,9.0,12,1.33,53,41,83.0,5,2,2,3,33.3,3,3,0,0,0.0,Matches,b39dfab0
154,Rafael,br BRA,GK,Cagliari,it Serie A,35,1982,10,8,794,8.8,11,1.25,39,28,74.4,4,1,3,1,12.5,1,1,0,0,0.0,Matches,dd06d56c
155,Toño Ramírez,es ESP,GK,Real Sociedad,es La Liga,30,1986,4,3,315,3.5,6,1.71,11,5,45.5,1,0,2,2,66.7,0,0,0,0,,Matches,dc4511f3
156,Pepe Reina,es ESP,GK,Napoli,it Serie A,34,1982,37,37,3330,37.0,29,0.78,97,68,72.2,28,6,3,18,48.6,2,2,0,0,0.0,Matches,e358587b
157,Baptiste Reynet,fr FRA,GK,Dijon,fr Ligue 1,26,1990,38,38,3420,38.0,73,1.92,201,128,69.2,13,9,16,5,13.2,14,11,3,0,21.4,Matches,bcf1b2e9
158,Sergio Rico,es ESP,GK,Sevilla,es La Liga,23,1993,24,23,2155,24.0,39,1.63,92,52,60.9,10,3,10,9,39.1,5,3,1,1,25.0,Matches,5f0241b2
159,Asier Riesgo,es ESP,GK,Eibar,es La Liga,33,1983,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches,581c5276
160,Roberto,es ESP,GK,Málaga,es La Liga,31,1986,34,34,3060,34.0,51,1.50,150,98,68.7,5,5,24,6,17.6,5,4,1,0,20.0,Matches,ba3ca78f
161,Sergio Romero,ar ARG,GK,Manchester Utd,eng Premier League,30,1987,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,1e26e376
162,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,26,1991,1,0,8,0.1,1,11.25,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,7b5f516f
163,Rubén,es ESP,GK,La Coruña,es La Liga,33,1984,28,27,2477,27.5,58,2.11,134,77,58.2,3,9,15,4,14.8,3,2,1,0,33.3,Matches,24279b8b
164,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,30,1986,35,35,3112,34.6,44,1.27,150,106,74.0,14,10,10,12,34.3,6,5,1,0,16.7,Matches,cac76a72
165,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,25,1992,26,26,2340,26.0,45,1.73,106,61,61.3,10,5,11,6,23.1,5,4,1,0,20.0,Matches,625c144a
166,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,25,1992,38,38,3420,38.0,54,1.42,172,121,69.2,9,13,16,10,26.3,3,1,2,0,66.7,Matches,4535e4bb
167,Mamadou Samassa,ml MLI,GK,Troyes,fr Ligue 1,27,1990,21,21,1890,21.0,31,1.48,101,70,71.3,6,3,12,5,23.8,3,2,1,0,33.3,Matches,cfe852d8
168,Brice Samba,cg CGO,GK,Caen,fr Ligue 1,23,1994,4,3,315,3.5,4,1.14,19,15,84.2,1,1,1,2,66.7,1,1,0,0,0.0,Matches,60d90c55
169,Antonio Santurro,do DOM,GK,Bologna,it Serie A,25,1992,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches,61228681
170,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,30,1986,33,33,2965,32.9,47,1.43,138,90,66.7,11,10,11,8,24.2,3,1,2,0,66.7,Matches,53af52f3
171,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,25,1992,33,33,2906,32.3,53,1.64,151,102,67.5,7,11,14,9,27.3,5,4,0,1,0.0,Matches,0d55d942
172,Simone Scuffet,it ITA,GK,Udinese,it Serie A,21,1996,6,6,540,6.0,11,1.83,27,16,59.3,1,0,5,1,16.7,1,0,1,0,100.0,Matches,41bd99ea
173,Luigi Sepe,it ITA,GK,Napoli,it Serie A,26,1991,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,343f753a
174,Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,26,1991,2,2,180,2.0,7,3.50,25,18,72.0,0,0,2,0,0.0,0,0,0,0,,Matches,0d422df7
175,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,29,1988,5,4,435,4.8,10,2.07,23,13,56.5,1,0,3,1,25.0,0,0,0,0,,Matches,0d8a37c2
176,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,30,1987,37,37,3330,37.0,45,1.22,158,110,74.7,12,15,10,10,27.0,8,5,3,0,37.5,Matches,10dc46f0
177,Antonio Sivera,es ESP,GK,Alavés,es La Liga,20,1996,1,1,63,0.7,,,1,1,,,,,,,,,,,,Matches,9970da54
178,Łukasz Skorupski,pl POL,GK,Roma,it Serie A,26,1991,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,ab4449d6
179,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,28,1988,30,30,2625,29.2,42,1.44,151,110,74.8,12,8,9,6,20.0,4,4,0,0,0.0,Matches,420c18a1
180,David Soria,es ESP,GK,Sevilla,es La Liga,24,1993,15,15,1265,14.0,19,1.35,58,40,70.7,7,3,4,5,33.3,3,2,0,1,0.0,Matches,8f8c6934
181,Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,38,1979,38,38,3420,38.0,59,1.55,187,129,70.6,10,10,18,7,18.4,7,4,3,0,42.9,Matches,048877f5
182,Julián Speroni,ar ARG,GK,Crystal Palace,eng Premier League,38,1979,11,11,990,11.0,14,1.27,43,29,69.8,3,5,3,2,18.2,1,1,0,0,0.0,Matches,8e65a5e5
183,Marco Sportiello,it ITA,GK,Fiorentina,it Serie A,25,1992,37,37,3202,35.6,38,1.07,131,92,72.5,16,9,10,14,37.8,3,2,1,0,33.3,Matches,ac4003af
184,Tom Starke,de GER,GK,Bayern Munich,de Bundesliga,36,1981,2,2,180,2.0,0,0.00,4,4,100.0,2,0,0,2,100.0,0,0,0,0,,Matches,5b52d1f7
185,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,22,1995,38,38,3420,38.0,49,1.29,159,111,74.8,21,9,8,11,28.9,10,9,1,0,10.0,Matches,339fe0e8
186,Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,32,1984,34,34,2940,32.7,41,1.26,125,85,70.4,19,8,5,10,29.4,4,4,0,0,0.0,Matches,f6db3bd5
187,Seydou Sy,sn SEN,GK,Monaco,fr Ligue 1,21,1995,3,2,255,2.8,4,1.41,16,12,81.3,1,0,1,1,50.0,1,1,0,0,0.0,Matches,8417953b
188,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,27,1990,17,17,1530,17.0,9,0.53,33,24,72.7,13,3,1,11,64.7,0,0,0,0,,Matches,01b8a2b2
189,Ciprian Tătărușanu,ro ROU,GK,Nantes,fr Ligue 1,31,1986,37,37,3330,37.0,38,1.03,133,96,72.9,14,10,13,12,32.4,3,2,0,1,0.0,Matches,b056e3da
190,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,25,1992,37,37,3330,37.0,28,0.76,126,98,79.4,27,9,1,19,51.4,2,2,0,0,0.0,Matches,6f51e382
191,Kevin Trapp,de GER,GK,Paris S-G,fr Ligue 1,27,1990,4,4,360,4.0,4,1.00,17,13,88.2,3,0,1,1,25.0,2,2,0,0,0.0,Matches,ce17b5eb
192,Philipp Tschauner,de GER,GK,Hannover 96,de Bundesliga,31,1985,31,31,2790,31.0,45,1.45,158,113,72.8,9,9,13,5,16.1,3,2,0,1,0.0,Matches,73e2f6eb
193,Przemysław Tytoń,pl POL,GK,La Coruña,es La Liga,30,1987,2,1,97,1.1,4,3.71,5,1,20.0,0,0,1,0,0.0,0,0,0,0,,Matches,1fa85681
194,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,28,1988,29,29,2610,29.0,26,0.90,84,58,70.2,23,3,3,12,41.4,4,1,3,0,75.0,Matches,7d3e7da6
195,Francis Uzoho,ng NGA,GK,La Coruña,es La Liga,18,1998,2,2,180,2.0,2,1.00,9,7,88.9,0,1,1,1,50.0,1,1,0,0,0.0,Matches,cfd68aa7
196,Koke Vegas,es ESP,GK,Levante,es La Liga,21,1995,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,bfb15d99
197,Rémy Vercoutre,fr FRA,GK,Caen,fr Ligue 1,37,1980,35,35,3103,34.5,48,1.39,132,88,66.7,9,7,18,11,31.4,4,4,0,0,0.0,Matches,1d0900d4
198,Emiliano Viviano,it ITA,GK,Sampdoria,it Serie A,31,1985,27,27,2430,27.0,43,1.59,132,87,68.9,11,4,12,6,22.2,6,2,4,0,66.7,Matches,03760df0
199,Michel Vorm,nl NED,GK,Tottenham,eng Premier League,33,1983,1,1,90,1.0,1,1.00,4,4,75.0,0,1,0,0,0.0,0,0,0,0,,Matches,1bebde9d
200,Roman Weidenfeller,de GER,GK,Dortmund,de Bundesliga,36,1980,2,1,91,1.0,4,3.96,7,3,42.9,0,1,0,0,0.0,0,0,0,0,,Matches,16b8fabd
201,Axel Werner,ar ARG,GK,Atlético Madrid,es La Liga,21,1996,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,c0b1a6da
202,Yoel,es ESP,GK,Eibar,es La Liga,28,1988,1,1,90,1.0,0,0.00,5,5,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,61bb7498
203,Erwin Zelazny,fr FRA,GK,Troyes,fr Ligue 1,25,1991,17,17,1530,17.0,28,1.65,92,64,71.7,3,3,11,3,17.6,2,2,0,0,0.0,Matches,e750cba4
204,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,22,1994,15,15,1350,15.0,27,1.80,70,44,67.1,3,5,7,2,13.3,4,4,0,0,0.0,Matches,5c4bf6ba
205,Luca Zidane,fr FRA,GK,Real Madrid,es La Liga,19,1998,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,Matches,c818c4d9
206,Ron-Robert Zieler,de GER,GK,Stuttgart,de Bundesliga,28,1989,34,34,3060,34.0,36,1.06,155,117,79.4,15,6,13,12,35.3,6,4,2,0,33.3,Matches,a0606ae8
