,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
777,Youssef En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,18,15,1385,15.4,4,2,4,0,0,2,0,0.26,0.13,0.39,0.26,0.39,5.0,5.0,0.6,5.6,0.32,0.04,0.36,0.32,0.36,Matches,04e17fd5
778,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,22,1997,18,7,796,8.8,4,0,4,0,0,1,0,0.45,0.00,0.45,0.45,0.45,3.6,3.6,0.1,3.8,0.41,0.02,0.43,0.41,0.43,Matches,04e17fd5
779,Björn Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,17,15,1447,16.1,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,1.0,0.9,0.3,1.2,0.06,0.02,0.08,0.06,0.07,Matches,4fdf1fd9
780,Sergi Enrich,es ESP,FW,Eibar,es La Liga,29,1990,30,21,1865,20.7,1,4,1,0,0,6,0,0.05,0.19,0.24,0.05,0.24,3.0,3.0,1.8,4.8,0.15,0.09,0.23,0.15,0.23,Matches,bb4b1242
781,Javier Eraso,es ESP,MF,Leganés,es La Liga,29,1990,20,11,815,9.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.06,0.07,0.13,0.06,0.13,Matches,aec0fb6f
782,Christian Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,27,1992,20,10,1097,12.2,2,2,2,0,0,5,0,0.16,0.16,0.33,0.16,0.33,1.9,1.9,1.9,3.8,0.15,0.16,0.31,0.15,0.31,Matches,980522ec
783,Christian Eriksen,dk DEN,MF,Inter,it Serie A,27,1992,17,8,703,7.8,1,2,1,0,0,0,0,0.13,0.26,0.38,0.13,0.38,2.0,2.0,2.8,4.9,0.26,0.36,0.62,0.26,0.62,Matches,980522ec
784,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,23,18,1674,18.6,0,1,0,0,0,9,1,0.00,0.05,0.05,0.00,0.05,1.7,1.7,1.1,2.8,0.09,0.06,0.15,0.09,0.15,Matches,3f79a1c8
785,Aarón Escandell,es ESP,GK,Granada,es La Liga,23,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,67669ce7
786,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,29,1989,11,8,773,8.6,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.7,1.0,0.04,0.08,0.12,0.04,0.12,Matches,b0616e3d
787,Bernardo Espinosa,co COL,DF,Espanyol,es La Liga,30,1989,26,26,2259,25.1,3,0,3,0,0,5,1,0.12,0.00,0.12,0.12,0.12,2.3,2.3,0.5,2.8,0.09,0.02,0.11,0.09,0.11,Matches,4242011c
788,Sebastiano Esposito,it ITA,FW,Inter,it Serie A,17,2002,7,2,199,2.2,1,0,0,1,1,2,0,0.45,0.00,0.45,0.00,0.00,1.8,1.0,0.1,1.1,0.81,0.06,0.87,0.45,0.52,Matches,7ff93107
789,Vicente Esquerdo,es ESP,MFFW,Valencia,es La Liga,20,1999,3,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ced26057
790,Alexander Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,29,1990,7,1,213,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.4,1.5,0.04,0.59,0.63,0.04,0.63,Matches,b48215cd
791,Pervis Estupiñán,ec ECU,DF,Osasuna,es La Liga,21,1998,36,32,2979,33.1,1,5,1,0,0,8,0,0.03,0.15,0.18,0.03,0.18,1.6,1.6,3.6,5.2,0.05,0.11,0.16,0.05,0.16,Matches,d38fdf53
792,Oghenekaro Etebo,ng NGA,MF,Getafe,es La Liga,23,1995,10,6,572,6.4,1,0,1,0,0,4,0,0.16,0.00,0.16,0.16,0.16,0.7,0.7,0.6,1.4,0.11,0.10,0.21,0.11,0.21,Matches,b579e83d
793,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,32,1987,11,3,394,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.9,0.03,0.17,0.20,0.03,0.20,Matches,b037bd4f
794,Xabier Etxeita,es ESP,DF,Getafe,es La Liga,31,1987,17,16,1446,16.1,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.02,0.00,0.03,0.02,0.03,Matches,4a895384
795,Antony Evans,eng ENG,MFDF,Paderborn 07,de Bundesliga,20,1998,6,2,156,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.7,0.04,0.39,0.43,0.04,0.43,Matches,cce7087c
796,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,31,1988,38,38,3383,37.6,1,1,1,0,0,8,1,0.03,0.03,0.05,0.03,0.05,3.7,3.7,0.7,4.4,0.10,0.02,0.12,0.10,0.12,Matches,f8fcd2a5
797,Edu Expósito,es ESP,MF,Eibar,es La Liga,22,1996,35,24,2316,25.7,4,1,3,1,2,3,0,0.16,0.04,0.19,0.12,0.16,2.7,1.0,0.9,1.9,0.10,0.03,0.14,0.04,0.07,Matches,283c7121
798,Valentin Eysseric,fr FRA,MFFW,Hellas Verona,it Serie A,27,1992,6,3,353,3.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.8,0.06,0.13,0.19,0.06,0.19,Matches,ae82fa48
799,Valentin Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,27,1992,3,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches,ae82fa48
800,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,34,1985,25,25,2117,23.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9328b835
801,Fabinho,br BRA,MF,Liverpool,eng Premier League,25,1993,28,22,2079,23.1,2,3,2,0,0,6,0,0.09,0.13,0.22,0.09,0.22,0.4,0.4,1.6,2.1,0.02,0.07,0.09,0.02,0.09,Matches,7f3b388c
802,Fábio,br BRA,DF,Nantes,fr Ligue 1,29,1990,10,10,834,9.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.4,0.01,0.04,0.05,0.01,0.05,Matches,bc7b4580
803,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,32,1987,18,12,930,10.3,0,3,0,0,0,1,1,0.00,0.29,0.29,0.00,0.29,0.5,0.5,2.1,2.6,0.05,0.20,0.25,0.05,0.25,Matches,33508c78
804,Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,af245161
805,Ralf Fährmann,de GER,GK,Norwich City,eng Premier League,30,1988,1,1,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1e43fad8
806,Fayçal Fajr,ma MAR,MF,Getafe,es La Liga,30,1988,10,5,403,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,1.0,0.09,0.14,0.23,0.09,0.23,Matches,79135368
807,Luca Falbo,it ITA,DF,Lazio,it Serie A,19,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ca8fa0c0
808,Filippo Falco,it ITA,FWMF,Lecce,it Serie A,27,1992,30,24,2014,22.4,4,6,4,0,0,0,0,0.18,0.27,0.45,0.18,0.45,2.8,2.8,4.5,7.3,0.13,0.20,0.33,0.13,0.33,Matches,e23f56c1
809,Eliseo Falcon,es ESP,DF,Levante,es La Liga,22,1997,1,1,73,0.8,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,904cd50d
810,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,24,1995,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9f5a610b
811,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,27,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches,b82880c6
812,Iago Falque,es ESP,FWMF,Torino,it Serie A,29,1990,4,1,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.13,0.06,0.19,0.13,0.19,Matches,440c84ed
813,Iago Falque,es ESP,MF,Genoa,it Serie A,29,1990,10,6,519,5.8,2,1,0,2,3,0,0,0.35,0.17,0.52,0.00,0.17,2.9,0.6,0.7,1.3,0.51,0.13,0.63,0.10,0.23,Matches,440c84ed
814,Akin Famewo,eng ENG,MF,Norwich City,eng Premier League,20,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9d9a71c1
815,Andri Fannar Baldursson,is ISL,MF,Bologna,it Serie A,17,2002,7,0,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.02,0.07,0.05,0.07,Matches,61f2f56a
816,Paolo Faragò,it ITA,DFMF,Cagliari,it Serie A,26,1993,21,14,1343,14.9,1,1,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,1.5,1.5,0.7,2.2,0.10,0.05,0.15,0.10,0.15,Matches,9085dd7c
817,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,27,1991,36,36,3228,35.9,5,3,5,0,0,6,0,0.14,0.08,0.22,0.14,0.22,4.2,4.2,3.6,7.8,0.12,0.10,0.22,0.12,0.22,Matches,aae9d04a
818,Mohamed Fares,dz ALG,DFMF,SPAL,it Serie A,23,1996,8,5,421,4.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.2,0.05,0.20,0.25,0.05,0.25,Matches,b7a5bc86
819,Diego Farias,br BRA,MFFW,Lecce,it Serie A,29,1990,18,7,824,9.2,2,0,2,0,0,3,1,0.22,0.00,0.22,0.22,0.22,1.7,1.7,2.0,3.7,0.19,0.21,0.40,0.19,0.40,Matches,157d29b6
820,Ansu Fati,es ESP,FW,Barcelona,es La Liga,16,2002,24,11,1027,11.4,7,1,7,0,0,2,1,0.61,0.09,0.70,0.61,0.70,3.8,3.8,2.1,5.9,0.33,0.18,0.52,0.33,0.52,Matches,0ba976e4
821,Julien Faussurier,fr FRA,DF,Brest,fr Ligue 1,32,1987,22,22,1980,22.0,2,3,2,0,0,1,0,0.09,0.14,0.23,0.09,0.23,0.8,0.8,1.8,2.6,0.04,0.08,0.12,0.04,0.12,Matches,767212e6
822,Andrea Favilli,it ITA,FW,Genoa,it Serie A,22,1997,20,7,658,7.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.9,2.2,0.18,0.13,0.30,0.18,0.30,Matches,44510fde
823,Federico Fazio,ar ARG,DF,Roma,it Serie A,32,1987,16,14,1213,13.5,1,0,1,0,0,2,1,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.1,0.5,0.04,0.00,0.04,0.04,0.04,Matches,4e358a2d
824,Aleix Febas,es ESP,MFFW,Mallorca,es La Liga,23,1996,29,22,1690,18.8,0,3,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,0.4,0.4,1.6,2.0,0.02,0.08,0.11,0.02,0.11,Matches,38126309
825,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,30,1989,17,16,1431,15.9,1,2,1,0,0,10,2,0.06,0.13,0.19,0.06,0.19,1.0,1.0,0.8,1.8,0.06,0.05,0.11,0.06,0.11,Matches,89151b16
826,Ljubomir Fejsa,rs SRB,MF,Alavés,es La Liga,30,1988,13,11,786,8.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,874d7a32
827,Nabil Fekir,fr FRA,MFFW,Betis,es La Liga,26,1993,32,31,2638,29.3,7,4,6,1,1,10,2,0.24,0.14,0.38,0.20,0.34,6.9,6.1,2.4,8.5,0.23,0.08,0.32,0.21,0.29,Matches,bece776f
828,Felipe,br BRA,DF,Atlético Madrid,es La Liga,30,1989,25,23,2102,23.4,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,1.9,1.9,0.2,2.1,0.08,0.01,0.09,0.08,0.09,Matches,51a3c4c8
829,Luiz Felipe,it ITA,DF,Lazio,it Serie A,22,1997,26,24,2024,22.5,1,1,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,1.0,1.0,0.4,1.4,0.05,0.02,0.06,0.05,0.06,Matches,15d0c248
830,Lucas Felippe,br BRA,MFDF,Hellas Verona,it Serie A,19,2000,2,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.09,0.00,0.09,0.09,0.09,Matches,85e51909
831,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,19,1999,27,21,1745,19.4,6,1,6,0,0,6,0,0.31,0.05,0.36,0.31,0.36,7.6,7.6,2.2,9.8,0.39,0.12,0.51,0.39,0.51,Matches,8aafd64f
832,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,21,1997,26,21,1966,21.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.01,0.01,0.02,0.01,0.02,Matches,677da306
833,Kiko Femenía,es ESP,DF,Watford,eng Premier League,28,1991,28,26,2237,24.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.4,1.5,0.01,0.06,0.06,0.01,0.06,Matches,e5d01ecf
834,Zinedine Ferhat,dz ALG,FWMF,Nîmes,fr Ligue 1,26,1993,26,25,2246,25.0,3,4,3,0,0,1,0,0.12,0.16,0.28,0.12,0.28,4.1,4.1,5.6,9.7,0.17,0.22,0.39,0.17,0.39,Matches,005c0807
835,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,24,1994,14,14,1186,13.2,8,7,4,4,4,2,0,0.61,0.53,1.14,0.30,0.83,6.2,3.0,2.5,5.5,0.47,0.19,0.66,0.23,0.42,Matches,507c7bdf
836,Edimilson Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,23,1996,24,18,1484,16.5,1,0,1,0,0,7,1,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.3,1.2,0.05,0.02,0.07,0.05,0.07,Matches,3bb625ac
837,Gedson Fernandes,pt POR,MFDF,Tottenham,eng Premier League,20,1999,7,0,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.13,0.16,0.03,0.16,Matches,e2dde94c
838,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,32,1986,11,10,775,8.6,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,8e58987d
839,Matheus Fernandes,br BRA,MFFW,Valladolid,es La Liga,21,1998,3,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.26,0.02,0.27,0.26,0.27,Matches,f76fdcd2
840,Aitor Fernández,es ESP,GK,Levante,es La Liga,28,1991,36,36,3240,36.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,a01c3d54
841,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,32,1986,4,4,360,4.0,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.0,0.0,0.5,0.5,0.00,0.12,0.12,0.00,0.12,Matches,307fcd26
842,Carlos Fernández,es ESP,FWMF,Granada,es La Liga,23,1996,34,21,2201,24.5,10,3,9,1,1,8,0,0.41,0.12,0.53,0.37,0.49,9.8,9.0,3.0,12.0,0.40,0.12,0.52,0.37,0.49,Matches,e08647d6
843,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,30,1989,32,29,2620,29.1,2,2,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,1.4,1.4,1.2,2.6,0.05,0.04,0.09,0.05,0.09,Matches,f25b010f
844,Gabriel Fernández,uy URU,FWMF,Celta Vigo,es La Liga,25,1994,20,5,561,6.2,1,1,1,0,0,5,1,0.16,0.16,0.32,0.16,0.32,0.7,0.7,0.2,0.9,0.10,0.04,0.14,0.10,0.14,Matches,36c5f77b
845,Joaquín Fernández,es ESP,MFDF,Valladolid,es La Liga,23,1996,20,19,1659,18.4,2,0,2,0,0,9,0,0.11,0.00,0.11,0.11,0.11,0.7,0.7,0.1,0.8,0.04,0.01,0.04,0.04,0.04,Matches,b86a64b2
846,Fernandinho,br BRA,DF,Manchester City,eng Premier League,34,1985,30,26,2397,26.6,0,1,0,0,0,9,2,0.00,0.04,0.04,0.00,0.04,1.0,1.0,0.4,1.4,0.04,0.01,0.05,0.04,0.05,Matches,101da2b5
847,Fernando,br BRA,MF,Sevilla,es La Liga,32,1987,34,30,2659,29.5,2,3,2,0,0,13,0,0.07,0.10,0.17,0.07,0.17,2.6,2.6,0.4,3.0,0.09,0.02,0.10,0.09,0.10,Matches,41f32541
848,Juan Ferney Otero,co COL,FWMF,Amiens,fr Ligue 1,24,1995,18,14,1202,13.4,1,2,1,0,0,0,1,0.07,0.15,0.22,0.07,0.22,2.0,2.0,1.9,3.8,0.15,0.14,0.29,0.15,0.29,Matches,05816e19
849,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,25,1994,12,11,1005,11.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.5,1.4,0.08,0.05,0.13,0.08,0.13,Matches,d0dbca9f
850,Facundo Ferreyra,ar ARG,FWMF,Espanyol,es La Liga,28,1991,16,5,574,6.4,1,0,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,1.3,1.3,0.4,1.7,0.20,0.06,0.26,0.20,0.26,Matches,b39a793e
851,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,27,1992,16,13,1150,12.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.3,1.7,0.03,0.10,0.13,0.03,0.13,Matches,375622c5
852,Oliver Fink,de GER,MFFW,Düsseldorf,de Bundesliga,37,1982,14,8,675,7.5,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.5,0.5,0.5,0.9,0.06,0.06,0.12,0.06,0.12,Matches,316162b6
853,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,30,1989,21,10,966,10.7,3,1,2,1,1,1,0,0.28,0.09,0.37,0.19,0.28,4.0,3.2,2.4,5.6,0.37,0.23,0.60,0.30,0.52,Matches,f9e7c4ac
854,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,27,1991,38,34,2988,33.2,9,8,9,0,0,0,0,0.27,0.24,0.51,0.27,0.51,14.0,14.0,6.5,20.5,0.42,0.20,0.62,0.42,0.62,Matches,4c370d81
855,Junior Firpo,es ESP,DF,Barcelona,es La Liga,22,1996,17,11,1014,11.3,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,0.7,0.7,0.5,1.2,0.06,0.04,0.10,0.06,0.10,Matches,24f59bb2
856,John Fleck,sct SCO,MF,Sheffield Utd,eng Premier League,27,1991,30,28,2516,28.0,5,2,5,0,0,8,0,0.18,0.07,0.25,0.18,0.25,3.1,3.1,3.4,6.5,0.11,0.12,0.23,0.11,0.23,Matches,b63e789d
857,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,26,1993,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a92ab7be
858,Sergio Floccari,it ITA,FW,SPAL,it Serie A,37,1981,24,9,942,10.5,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,1.3,1.3,0.5,1.9,0.13,0.05,0.18,0.13,0.18,Matches,df301450
859,Alessandro Florenzi,it ITA,DFFW,Roma,it Serie A,28,1991,14,12,997,11.1,0,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.5,0.5,1.8,2.3,0.04,0.17,0.21,0.04,0.21,Matches,e288d4b3
860,Alessandro Florenzi,it ITA,DF,Valencia,es La Liga,28,1991,12,9,752,8.4,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.8,1.4,0.07,0.10,0.17,0.07,0.17,Matches,e288d4b3
861,Phil Foden,eng ENG,FWMF,Manchester City,eng Premier League,19,2000,23,9,901,10.0,5,2,5,0,0,0,0,0.50,0.20,0.70,0.50,0.70,3.3,3.3,1.2,4.5,0.33,0.12,0.45,0.33,0.45,Matches,ed1e53f3
862,Mamadou Fofana,ml MLI,DFMF,Metz,fr Ligue 1,21,1998,20,18,1587,17.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.8,0.02,0.03,0.05,0.02,0.05,Matches,4c4ffacc
863,Seko Fofana,ci CIV,MF,Udinese,it Serie A,24,1995,32,24,2249,25.0,3,7,3,0,0,4,0,0.12,0.28,0.40,0.12,0.40,3.4,3.4,3.7,7.0,0.13,0.15,0.28,0.13,0.28,Matches,5313ed43
864,Wesley Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2000,14,13,1215,13.5,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.1,1.0,0.07,0.00,0.07,0.07,0.07,Matches,132a82f1
865,Youssouf Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,13,12,1008,11.2,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.4,1.2,0.07,0.04,0.11,0.07,0.11,Matches,822d51d7
866,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,20,1999,7,7,610,6.8,0,2,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30,0.3,0.3,0.6,0.9,0.04,0.09,0.13,0.04,0.13,Matches,822d51d7
867,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,24,1994,27,27,2430,27.0,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.5,0.5,1.3,1.9,0.02,0.05,0.07,0.02,0.07,Matches,90eb507d
868,Lamine Fomba,fr FRA,MF,Nîmes,fr Ligue 1,21,1998,20,15,1373,15.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.5,1.9,0.09,0.03,0.13,0.09,0.13,Matches,2145368f
869,José Fonte,pt POR,DF,Lille,fr Ligue 1,35,1983,25,25,2205,24.5,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,1.6,1.6,0.7,2.3,0.07,0.03,0.09,0.07,0.09,Matches,90f87966
870,Pablo Fornals,es ESP,MFFW,West Ham,eng Premier League,23,1996,36,24,2172,24.1,2,5,2,0,0,3,0,0.08,0.21,0.29,0.08,0.29,2.3,2.3,2.5,4.8,0.10,0.10,0.20,0.10,0.20,Matches,82927de4
871,Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,27,1991,22,14,1141,12.7,5,2,3,2,2,1,0,0.39,0.16,0.55,0.24,0.39,3.6,2.0,2.9,4.9,0.28,0.23,0.51,0.16,0.39,Matches,9a2e0ccc
872,Hernâni Fortes,pt POR,MFFW,Levante,es La Liga,27,1991,20,5,654,7.3,2,0,2,0,0,3,1,0.28,0.00,0.28,0.28,0.28,1.5,1.5,2.3,3.8,0.21,0.32,0.53,0.21,0.53,Matches,2327c29e
873,Ben Foster,eng ENG,GK,Watford,eng Premier League,36,1983,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches,d0b3ceb9
874,Lyle Foster,za RSA,FW,Monaco,fr Ligue 1,18,2000,2,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.40,0.00,0.40,0.40,0.40,Matches,f84a807c
875,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,21,1998,3,2,136,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.07,0.11,0.05,0.11,Matches,a9142dc3
876,Dimitri Foulquier,fr FRA,DFMF,Watford,eng Premier League,26,1993,3,1,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,45e17712
877,Dimitri Foulquier,fr FRA,DFMF,Granada,es La Liga,26,1993,17,12,1119,12.4,1,0,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,0.3,0.3,0.4,0.8,0.02,0.04,0.06,0.02,0.06,Matches,45e17712
878,Juan Foyth,ar ARG,DF,Tottenham,eng Premier League,21,1998,4,1,68,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches,6c7762c3
879,Gianluca Frabotta,it ITA,DF,Juventus,it Serie A,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,d80b1835
880,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,23,1995,18,12,1175,13.1,0,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.8,0.9,0.01,0.06,0.07,0.01,0.07,Matches,626fab5f
881,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,34,1985,15,10,969,10.8,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.01,0.02,0.03,0.01,0.03,Matches,1e0b6a73
882,Mike Frantz,de GER,MF,Freiburg,de Bundesliga,32,1986,18,3,350,3.9,0,1,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,0.4,0.4,0.9,1.3,0.10,0.22,0.33,0.10,0.33,Matches,482b70ad
883,Ryan Fraser,sct SCO,MFFW,Bournemouth,eng Premier League,25,1994,28,21,2067,23.0,1,4,1,0,0,2,0,0.04,0.17,0.22,0.04,0.22,3.7,3.7,3.9,7.6,0.16,0.17,0.33,0.16,0.33,Matches,d56543a0
