,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
128,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,27,1992,27,27,2358,26.2,37,1.41,102,62,71.6,7,7,12,6,22.2,11,8,3,0,27.3,Matches,97852360
129,Daniele Padelli,it ITA,GK,Inter,it Serie A,33,1985,4,4,270,3.0,4,1.33,8,4,62.5,2,0,1,1,25.0,1,1,0,0,0.0,Matches,cf1c23d8
130,Miquel Parera,es ESP,GK,Mallorca,es La Liga,23,1996,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,,Matches,f9b42381
131,Rui Patrício,pt POR,GK,Wolves,eng Premier League,31,1988,38,38,3420,38.0,40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,0,66.7,Matches,79b0d6a0
132,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,27,1992,33,33,2970,33.0,67,2.03,169,105,60.9,8,6,19,4,12.1,1,1,0,0,0.0,Matches,0a1cb833
133,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,38,1981,5,5,450,5.0,4,0.80,27,24,85.2,2,2,1,2,40.0,0,0,0,0,,Matches,f058ed1f
134,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,36,1982,2,1,149,1.7,2,1.21,7,4,71.4,1,0,0,0,0.0,1,0,1,0,100.0,Matches,76806215
135,Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,34,1985,4,4,360,4.0,4,1.00,21,17,85.7,2,0,2,1,25.0,1,1,0,0,0.0,Matches,c41f7379
136,Juan Pérez,es ESP,GK,Osasuna,es La Liga,23,1996,2,2,180,2.0,3,1.50,9,6,77.8,1,1,0,0,0.0,1,1,0,0,0.0,Matches,8f29e08b
137,Samu Pérez,es ESP,GK,Valladolid,es La Liga,22,1997,1,0,26,0.3,1,3.46,1,0,100.0,0,0,0,0,,1,1,0,0,0.0,Matches,aae17c81
138,Mattia Perin,it ITA,GK,Genoa,it Serie A,26,1992,21,21,1890,21.0,38,1.81,103,66,64.1,8,4,9,5,23.8,2,1,0,1,0.0,Matches,4c62d0c8
139,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,31,1987,8,8,720,8.0,8,1.00,37,30,81.1,2,4,2,3,37.5,1,1,0,0,0.0,Matches,c89e8aae
140,Danijel Petković,me MNE,GK,Angers,fr Ligue 1,26,1993,2,2,180,2.0,1,0.50,7,6,85.7,1,0,1,1,50.0,0,0,0,0,,Matches,b98cea65
141,Denis Petrić,rs SRB,GK,Nantes,fr Ligue 1,31,1988,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,dab1b8dc
142,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,25,1994,38,38,3420,38.0,56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,1,0.0,Matches,4806ec67
143,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,29,1990,1,0,19,0.2,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,f6a06749
144,Nick Pope,eng ENG,GK,Burnley,eng Premier League,27,1992,38,38,3420,38.0,50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,0,20.0,Matches,4b40d9ca
145,Ionuț Radu,ro ROU,GK,Genoa,it Serie A,22,1997,17,17,1530,17.0,35,2.06,98,64,70.4,2,5,10,2,11.8,7,6,0,1,0.0,Matches,67f649be
146,Boris Radunović,rs SRB,GK,Hellas Verona,it Serie A,23,1996,3,3,270,3.0,8,2.67,15,7,60.0,1,0,2,1,33.3,2,2,0,0,0.0,Matches,0dfce079
147,Rafael,br BRA,GK,Cagliari,it Serie A,37,1982,6,5,454,5.0,11,2.18,17,6,47.1,1,1,3,0,0.0,3,2,0,1,0.0,Matches,dd06d56c
148,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,23,1995,27,27,2430,27.0,18,0.67,87,65,80.5,10,11,6,12,44.4,5,1,4,0,80.0,Matches,58ad9383
149,Aaron Ramsdale,eng ENG,GK,Bournemouth,eng Premier League,21,1998,37,37,3330,37.0,62,1.68,187,124,69.5,9,7,21,5,13.5,6,5,1,0,16.7,Matches,466fb2c5
150,Darren Randolph,ie IRL,GK,West Ham,eng Premier League,32,1987,2,2,180,2.0,5,2.50,11,6,63.6,0,1,1,0,0.0,1,1,0,0,0.0,Matches,6385ebfb
151,Manolo Reina,es ESP,GK,Mallorca,es La Liga,34,1985,36,36,3240,36.0,60,1.67,179,119,74.3,9,5,22,5,13.9,15,14,1,0,6.7,Matches,605eb473
152,Pepe Reina,es ESP,GK,Aston Villa,eng Premier League,36,1982,12,12,1080,12.0,20,1.67,53,32,66.0,3,3,6,2,16.7,3,2,1,0,33.3,Matches,e358587b
153,Pepe Reina,es ESP,GK,Milan,it Serie A,36,1982,2,2,90,1.0,1,1.00,6,4,83.3,1,0,0,0,0.0,1,0,1,0,100.0,Matches,e358587b
154,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,24,1995,25,25,2250,25.0,32,1.28,93,60,73.1,11,4,10,6,24.0,8,7,1,0,12.5,Matches,374ee424
155,Baptiste Reynet,fr FRA,GK,Toulouse,fr Ligue 1,28,1990,23,22,2034,22.6,49,2.17,118,68,61.0,3,3,16,2,9.1,5,3,2,0,40.0,Matches,bcf1b2e9
